,initial_capital,final_equity,total_return_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio
Train,100000.0,7433195.925868329,7333.195925868328,189.0,134.0,55.0,70.8994708994709,105991.64364854543,-117677.39186641955,1.3646321399652361,1.895267392074961,-59.251377343019286,123.7641427880206
Validation,100000.0,100254.90917488438,0.2549091748843785,64.0,29.0,35.0,45.3125,12194.551737883994,-9817.305312158505,0.9081996626219089,1.514846943522608,-58.15334720957416,0.004383396435732785
Test,100000.0,257284.947273676,157.28494727367598,54.0,25.0,29.0,46.2962962962963,25502.803876927537,-15980.59524380462,1.0572369424096686,2.0870675722835563,-50.299675241735855,3.1269575105162852
